Ac_No,Age,Years of Experience,Number of Vehicles,Gender,Married,Losses in Thousands,Acct_Open_Dt,Defaulted
170014,61,42,1,F,Single,203.2806148,11-09-2014,11-09-2016
107169,25,8,1,F,Married,264.656479,10-09-2014,10-09-2016
163597,18,1,1,F,Married,269.4121493,09-09-2014,09-09-2016
195256,18,0,1,M,Single,1355.15476,08-09-2014,08-09-2016
183300,65,48,1,F,Married,174.8904686,07-09-2014,07-09-2016
164609,40,21,1,F,Single,390.5619161,06-09-2014,06-09-2016
115010,25,8,1,F,Single,436.0393992,05-09-2014,05-09-2016
143204,17,0,1,M,Married,521.923239,04-09-2014,04-09-2016
146639,20,3,1,F,Single,273.2692258,03-09-2014,03-09-2016
184105,37,20,1,M,Married,261.0602312,02-09-2014,02-09-2016
163177,57,36,1,M,Married,622.801627,01-09-2014,01-09-2016
168558,32,13,1,F,Single,214.1314498,31-08-2014,31-08-2016
116521,38,17,1,F,Married,342.69694,30-08-2014,30-08-2016
160621,46,28,1,M,Married,511.7252723,29-08-2014,29-08-2016
184650,42,24,1,M,Single,484.2579932,28-08-2014,28-08-2016
100693,47,27,1,F,Married,490.9507383,27-08-2014,27-08-2016
178118,47,30,1,F,Single,361.7061298,26-08-2014,26-08-2016
123026,68,47,1,M,Single,204.5985099,25-08-2014,25-08-2016
191785,64,47,1,F,Married,248.2674932,24-08-2014,24-08-2016
129757,24,5,1,M,Married,489.8566707,23-08-2014,23-08-2016
134146,36,19,1,M,Single,699.7955734,22-08-2014,22-08-2016
174859,69,49,1,F,Married,197.272486,21-08-2014,21-08-2016
160642,17,0,1,F,Single,352.5326175,20-08-2014,20-08-2016
152328,36,16,1,F,Married,516.5329848,19-08-2014,19-08-2016
115950,60,40,1,F,Single,257.538506,18-08-2014,18-08-2016
141392,70,51,1,F,Single,271.4200491,17-08-2014,17-08-2016
111412,41,21,1,F,Married,295.4013748,16-08-2014,16-08-2016
145692,32,12,1,M,Married,295.4869352,15-08-2014,15-08-2016
105998,38,18,1,F,Married,420.6612799,14-08-2014,14-08-2016
177280,35,14,1,M,Married,287.4881203,13-08-2014,13-08-2016
161541,41,24,1,F,Married,216.0974478,12-08-2014,12-08-2016
145845,69,49,1,M,Single,554.2172221,11-08-2014,11-08-2016
162683,41,20,1,M,Single,431.375072,10-08-2014,10-08-2016
190955,65,47,1,F,Married,274.7667043,09-08-2014,09-08-2016
127700,67,46,1,M,Single,251.1320166,08-08-2014,08-08-2016
105943,17,0,1,M,Single,557.4409401,07-08-2014,07-08-2016
186711,19,2,1,M,Single,336.9348452,06-08-2014,06-08-2016
181773,68,51,1,F,Married,268.1844154,05-08-2014,05-08-2016
135696,70,49,1,M,Single,274.3217731,04-08-2014,04-08-2016
121360,65,44,1,M,Single,382.5191511,03-08-2014,03-08-2016
110838,17,0,1,M,Single,356.3976584,02-08-2014,02-08-2016
103919,58,37,1,M,Married,345.2673698,01-08-2014,01-08-2016
113196,65,46,1,F,Single,561.2968092,31-07-2014,31-07-2016
156159,56,35,1,F,Married,338.0992415,30-07-2014,30-07-2016
104242,25,8,1,M,Single,2600,29-07-2014,29-07-2016
103977,23,6,1,M,Single,530.4131783,28-07-2014,28-07-2016
104708,23,4,1,M,Married,238.6039585,27-07-2014,27-07-2016
155156,25,6,1,F,Single,520.1172483,26-07-2014,26-07-2016
186176,26,5,1,M,Married,230.6920433,25-07-2014,25-07-2016
164213,61,40,1,M,Single,68.35529078,24-07-2014,24-07-2016
156090,31,13,1,M,Single,817.9641516,23-07-2014,23-07-2016
131795,36,17,1,F,Married,249.8851289,22-07-2014,22-07-2016
186726,20,2,1,F,Married,278.4734322,21-07-2014,21-07-2016
165520,20,2,1,F,Single,672.9064735,20-07-2014,20-07-2016
141929,62,45,1,M,Single,198.6312063,19-07-2014,19-07-2016
153488,54,34,1,F,Single,438.4493431,18-07-2014,18-07-2016
113784,54,36,1,F,Single,400.5331803,17-07-2014,17-07-2016
110383,41,21,1,F,Single,358.5332434,16-07-2014,16-07-2016
187328,53,35,1,F,Single,166.6465849,15-07-2014,15-07-2016
162208,30,11,1,M,Married,367.58451,14-07-2014,14-07-2016
116861,40,19,1,M,Married,570.7365692,13-07-2014,13-07-2016
167134,28,7,1,M,Single,895.4863389,12-07-2014,12-07-2016
141986,36,18,1,F,Single,391.5134925,11-07-2014,11-07-2016
146238,50,30,1,M,Married,374.2330001,10-07-2014,10-07-2016
165957,69,52,1,F,Single,125.7505907,09-07-2014,09-07-2016
163870,25,6,1,F,Single,398.9445904,08-07-2014,08-07-2016
162565,46,26,1,F,Married,320.3867101,07-07-2014,07-07-2016
160586,50,33,1,F,Single,360.7660378,06-07-2014,06-07-2016
142195,52,32,1,F,Single,349.501615,05-07-2014,05-07-2016
188937,40,20,1,F,Single,640.738802,04-07-2014,04-07-2016
193943,52,33,1,M,Married,625.962084,03-07-2014,03-07-2016
175676,60,39,1,F,Single,133.2658411,02-07-2014,02-07-2016
132797,19,0,1,F,Married,418.9765851,01-07-2014,01-07-2016
186911,41,24,1,F,Married,330.0584664,30-06-2014,30-06-2016
106329,20,2,1,F,Married,128.3109544,29-06-2014,29-06-2016
196388,49,31,1,F,Married,292.3818226,28-06-2014,28-06-2016
104924,16,0,1,M,Married,777.0907015,27-06-2014,27-06-2016
172282,43,25,1,F,Married,309.6777545,26-06-2014,26-06-2016
191839,58,39,1,M,Married,324.9266555,25-06-2014,25-06-2016
150300,62,43,1,F,Single,24.39857653,24-06-2014,24-06-2016
133183,64,47,1,M,Married,191.8395784,23-06-2014,23-06-2016
122755,57,38,1,M,Married,135.0784212,22-06-2014,22-06-2016
183655,64,46,1,F,Married,60.38892485,21-06-2014,21-06-2016
135228,19,2,1,M,Single,1730.684951,20-06-2014,20-06-2016
117691,19,1,1,M,Married,254.0805596,19-06-2014,19-06-2016
149212,34,15,1,F,Single,434.8411458,18-06-2014,18-06-2016
143812,17,0,1,M,Married,691.1435667,17-06-2014,17-06-2016
189381,38,21,1,F,Single,419.8097249,16-06-2014,16-06-2016
140087,35,16,1,F,Married,289.7668906,15-06-2014,15-06-2016
191833,25,7,1,M,Married,733.1835635,14-06-2014,14-06-2016
142612,67,46,1,M,Single,173.2162688,13-06-2014,13-06-2016
104625,43,26,1,M,Married,544.0874689,12-06-2014,12-06-2016
172793,23,6,1,F,Single,700.8519395,11-06-2014,11-06-2016
184810,64,47,1,M,Single,69.22817764,10-06-2014,10-06-2016
133862,61,41,1,F,Single,45.83002147,09-06-2014,09-06-2016
105417,66,48,1,M,Single,325.770291,08-06-2014,08-06-2016
182686,67,47,1,F,Single,466.4515276,07-06-2014,07-06-2016
130393,53,33,1,F,Single,422.243912,06-06-2014,06-06-2016
137286,25,8,1,M,Single,482.8592229,05-06-2014,05-06-2016
192278,23,6,1,M,Single,237.1568502,04-06-2014,04-06-2016
137714,36,19,1,M,Married,359.1130124,03-06-2014,03-06-2016
149194,47,27,1,F,Single,793.1536372,02-06-2014,02-06-2016
109614,37,19,1,F,Married,314.6814073,01-06-2014,01-06-2016
146069,45,27,1,F,Married,142.8929684,31-05-2014,31-05-2016
184703,40,23,1,F,Married,318.7104773,30-05-2014,30-05-2016
113814,19,1,1,M,Married,364.3565246,29-05-2014,29-05-2016
113861,25,6,1,F,Married,284.8746199,28-05-2014,28-05-2016
115228,32,12,1,M,Single,439.2919376,27-05-2014,27-05-2016
164306,69,52,1,M,Single,222.9949749,26-05-2014,26-05-2016
158443,53,35,1,F,Single,748.0892554,25-05-2014,25-05-2016
123547,62,41,1,F,Married,114.9781753,24-05-2014,24-05-2016
148138,17,0,1,F,Married,254.7692296,23-05-2014,23-05-2016
128085,55,34,1,M,Married,540.5405296,22-05-2014,22-05-2016
183669,49,30,1,M,Single,405.7686642,21-05-2014,21-05-2016
189350,22,5,1,M,Married,733.2995135,20-05-2014,20-05-2016
113918,51,32,1,F,Married,260.2033477,19-05-2014,19-05-2016
134798,33,13,1,M,Single,421.731451,18-05-2014,18-05-2016
146143,21,4,1,M,Married,431.5361637,17-05-2014,17-05-2016
101936,62,43,1,F,Married,47.90406835,16-05-2014,16-05-2016
163112,29,8,1,F,Single,415.8751673,15-05-2014,15-05-2016
185713,27,8,1,M,Single,363.7386019,14-05-2014,14-05-2016
144777,50,31,1,F,Single,428.0443064,13-05-2014,13-05-2016
198082,54,33,1,F,Single,230.4496289,12-05-2014,12-05-2016
193011,24,5,1,M,Single,857.4740156,11-05-2014,11-05-2016
169397,58,39,1,M,Single,773.6304312,10-05-2014,10-05-2016
141420,48,27,1,F,Single,477.7134309,09-05-2014,09-05-2016
102641,59,40,1,M,Single,427.2013464,08-05-2014,08-05-2016
147513,30,9,1,M,Married,353.9876552,07-05-2014,07-05-2016
195317,67,47,1,F,Single,293.6649609,06-05-2014,06-05-2016
110599,22,5,1,M,Married,495.1954386,05-05-2014,05-05-2016
161595,66,48,1,M,Married,171.9308623,04-05-2014,04-05-2016
104522,69,49,1,M,Single,47.16275981,03-05-2014,03-05-2016
139321,40,22,1,F,Married,344.8873218,02-05-2014,02-05-2016
144873,70,52,1,M,Single,212.5038196,01-05-2014,01-05-2016
161962,23,5,1,M,Married,489.5382292,30-04-2014,30-04-2016
187312,42,25,1,M,Married,398.0518761,29-04-2014,29-04-2016
188822,36,18,1,M,Married,233.4536465,28-04-2014,28-04-2016
103279,52,33,1,M,Single,486.2943804,27-04-2014,27-04-2016
119888,34,14,1,M,Married,355.5928162,26-04-2014,26-04-2016
114281,34,16,1,F,Single,457.4466378,25-04-2014,25-04-2016
101259,69,48,1,F,Single,458.0629055,24-04-2014,24-04-2016
144219,52,31,1,M,Married,394.2066246,23-04-2014,23-04-2016
148925,66,45,1,M,Married,40.62820414,22-04-2014,22-04-2016
181140,25,8,1,F,Single,501.9949382,21-04-2014,21-04-2016
188649,24,6,1,M,Married,665.9750545,20-04-2014,20-04-2016
151755,52,35,1,F,Single,396.4647332,19-04-2014,19-04-2016
198483,22,5,1,M,Married,750.6949749,18-04-2014,18-04-2016
169830,21,3,1,M,Married,398.4218218,17-04-2014,17-04-2016
139933,70,51,1,M,Married,56.35271511,16-04-2014,16-04-2016
189968,66,49,1,M,Single,186.2522302,15-04-2014,15-04-2016
109843,21,3,1,M,Married,212.0839926,14-04-2014,14-04-2016
105158,23,6,1,F,Married,343.4044974,13-04-2014,13-04-2016
102269,21,3,1,F,Single,747.9948959,12-04-2014,12-04-2016
193852,22,5,1,F,Single,362.8274602,11-04-2014,11-04-2016
136864,59,40,1,F,Single,520.1692747,10-04-2014,10-04-2016
178699,18,1,1,M,Single,802.0179957,09-04-2014,09-04-2016
126656,26,7,1,M,Married,331.7301861,08-04-2014,08-04-2016
155073,53,32,1,F,Single,875.5579818,07-04-2014,07-04-2016
159651,66,46,1,M,Single,477.3863378,06-04-2014,06-04-2016
197733,42,22,1,F,Married,206.8762564,05-04-2014,05-04-2016
135678,19,2,1,F,Single,559.1728954,04-04-2014,04-04-2016
147346,55,36,1,M,Married,390.9282046,03-04-2014,03-04-2016
180377,65,47,1,F,Single,393.3125586,02-04-2014,02-04-2016
100870,50,31,1,M,Single,522.7825524,01-04-2014,01-04-2016
183817,64,46,1,F,Single,274.9807802,31-03-2014,31-03-2016
154060,64,43,1,F,Married,32.72555801,30-03-2014,30-03-2016
128584,55,36,1,M,Married,349.9393754,29-03-2014,29-03-2016
194998,58,40,1,F,Married,307.8470487,28-03-2014,28-03-2016
158951,23,6,1,M,Single,911.5321693,27-03-2014,27-03-2016
189957,16,0,1,F,Married,305.8610846,26-03-2014,26-03-2016
127301,27,8,1,F,Single,412.0192066,25-03-2014,25-03-2016
105088,45,24,1,F,Single,242.3262443,24-03-2014,24-03-2016
167411,23,5,1,F,Single,360.1011196,23-03-2014,23-03-2016
193035,50,33,1,F,Single,431.1665527,22-03-2014,22-03-2016
103444,56,38,1,M,Married,335.5032735,21-03-2014,21-03-2016
142297,17,0,1,M,Married,469.8951722,20-03-2014,20-03-2016
140560,66,46,1,F,Married,259.3302137,19-03-2014,19-03-2016
111639,20,2,1,M,Single,1155.570126,18-03-2014,18-03-2016
156912,61,40,1,F,Married,275.8448446,17-03-2014,17-03-2016
131225,65,46,1,M,Married,65.67824927,16-03-2014,16-03-2016
153270,30,12,1,M,Married,204.6908311,15-03-2014,15-03-2016
145789,20,2,1,M,Married,587.7639519,14-03-2014,14-03-2016
187837,19,1,1,M,Single,653.382622,13-03-2014,13-03-2016
140170,54,34,1,M,Married,198.8889181,12-03-2014,12-03-2016
101602,45,26,1,F,Single,423.4963358,11-03-2014,11-03-2016
184302,31,11,1,F,Single,194.7580825,10-03-2014,10-03-2016
177548,67,47,1,M,Single,372.7635182,09-03-2014,09-03-2016
124942,65,48,1,F,Married,96.36032976,08-03-2014,08-03-2016
119887,48,30,1,M,Single,388.8524692,07-03-2014,07-03-2016
185335,20,3,1,F,Married,553.0150379,06-03-2014,06-03-2016
158234,17,0,1,M,Single,337.170483,05-03-2014,05-03-2016
167992,68,49,1,M,Single,465.1176686,04-03-2014,04-03-2016
160787,18,0,1,M,Single,1037.104939,03-03-2014,03-03-2016
163031,45,25,1,M,Single,478.0213205,02-03-2014,02-03-2016
137168,39,22,1,M,Single,275.4917981,01-03-2014,01-03-2016
157421,53,35,1,F,Married,320.3068082,28-02-2014,28-02-2016
141655,31,12,1,M,Single,482.2712561,27-02-2014,27-02-2016
135049,43,23,1,M,Married,218.4008806,26-02-2014,26-02-2016
190438,27,8,1,M,Single,428.3436991,25-02-2014,25-02-2016
127117,18,0,1,M,Married,509.1766552,24-02-2014,24-02-2016
152524,18,1,1,M,Single,454.8691711,23-02-2014,23-02-2016
140093,22,5,1,M,Married,731.936793,22-02-2014,22-02-2016
108429,23,5,1,M,Single,948.1599283,21-02-2014,21-02-2016
125838,31,14,1,F,Single,242.6541754,20-02-2014,20-02-2016
116996,62,41,1,F,Married,127.554803,19-02-2014,19-02-2016
153887,21,4,1,M,Married,340.0697223,18-02-2014,18-02-2016
170285,63,45,1,M,Married,194.3165171,17-02-2014,17-02-2016
166968,52,34,1,F,Single,513.7114819,16-02-2014,16-02-2016
198776,57,40,1,M,Single,557.8158927,15-02-2014,15-02-2016
109534,67,50,1,F,Married,329.23095,14-02-2014,14-02-2016
173645,21,4,1,M,Single,517.8087863,13-02-2014,13-02-2016
136793,16,0,1,F,Married,246.5317349,12-02-2014,12-02-2016
195150,46,28,1,M,Single,395.3882725,11-02-2014,11-02-2016
109477,19,0,1,F,Single,397.852454,10-02-2014,10-02-2016
107532,60,41,1,M,Married,260.7493276,09-02-2014,09-02-2016
172577,25,6,1,M,Single,966.127914,08-02-2014,08-02-2016
154508,68,48,1,F,Married,254.3947227,07-02-2014,07-02-2016
147473,64,43,1,F,Single,52.41921348,06-02-2014,06-02-2016
111622,51,33,1,M,Married,317.2362189,05-02-2014,05-02-2016
135979,62,44,1,F,Single,269.3517877,04-02-2014,04-02-2016
162623,22,3,1,M,Single,654.294492,03-02-2014,03-02-2016
120108,55,37,1,F,Married,309.2396041,02-02-2014,02-02-2016
189149,43,22,1,F,Single,449.7033597,01-02-2014,01-02-2016
196908,43,26,1,M,Married,326.467776,31-01-2014,31-01-2016
110243,28,8,1,M,Married,404.4041105,30-01-2014,30-01-2016
146508,42,23,1,M,Single,454.5588872,29-01-2014,29-01-2016
144446,51,30,1,F,Single,590.6407796,28-01-2014,28-01-2016
126102,16,0,1,M,Married,278.6843827,27-01-2014,27-01-2016
177621,62,42,1,M,Single,57.5163719,26-01-2014,26-01-2016
193318,29,9,1,F,Single,403.2553677,25-01-2014,25-01-2016
123936,54,37,1,M,Single,941.2388843,24-01-2014,24-01-2016
163020,58,40,1,M,Single,429.506863,23-01-2014,23-01-2016
191540,25,7,1,M,Married,1199.944535,22-01-2014,22-01-2016
188315,43,23,1,M,Single,395.4510456,21-01-2014,21-01-2016
189429,20,1,1,F,Married,388.9897943,20-01-2014,20-01-2016
180455,18,0,1,M,Married,382.1035218,19-01-2014,19-01-2016
156828,24,5,1,F,Married,102.363644,18-01-2014,18-01-2016
131150,18,0,1,M,Single,436.7417282,17-01-2014,17-01-2016
130067,22,3,1,M,Single,306.8513302,16-01-2014,16-01-2016
132375,30,11,1,F,Single,570.5547459,15-01-2014,15-01-2016
181772,29,12,1,F,Single,374.2554735,14-01-2014,14-01-2016
114798,16,0,1,M,Single,880.5423223,13-01-2014,13-01-2016
135519,25,8,1,F,Married,805.5978863,12-01-2014,12-01-2016
141258,40,23,1,M,Single,651.4634054,11-01-2014,11-01-2016
177622,34,16,1,F,Married,429.4072773,10-01-2014,10-01-2016
188721,60,43,1,M,Single,415.7502168,09-01-2014,09-01-2016
127873,23,6,1,F,Single,526.5853106,08-01-2014,08-01-2016
155337,64,44,1,M,Married,324.076563,07-01-2014,07-01-2016
119535,39,21,1,F,Single,441.2336954,06-01-2014,06-01-2016
126897,25,8,1,M,Single,735.046617,05-01-2014,05-01-2016
139882,18,0,1,F,Married,187.5632107,04-01-2014,04-01-2016
149949,60,41,1,F,Single,302.7598559,03-01-2014,03-01-2016
111103,53,36,1,F,Single,636.6652396,02-01-2014,02-01-2016
152990,62,43,1,F,Married,62.94165861,01-01-2014,01-01-2016
121348,60,43,1,F,Single,53.84875132,31-12-2013,31-12-2015
153220,60,40,1,M,Married,205.4665587,30-12-2013,30-12-2015
169953,52,31,1,M,Married,331.6699986,29-12-2013,29-12-2015
142525,65,45,1,F,Single,433.9037761,28-12-2013,28-12-2015
145853,60,42,1,M,Married,41.44745886,27-12-2013,27-12-2015
137938,24,7,1,M,Single,638.3784062,26-12-2013,26-12-2015
147183,20,3,1,F,Single,690.2847547,25-12-2013,25-12-2015
107660,67,50,1,F,Single,186.951001,24-12-2013,24-12-2015
138945,17,0,1,F,Single,257.9940404,23-12-2013,23-12-2015
109762,25,6,1,F,Married,171.1116362,22-12-2013,22-12-2015
128050,60,39,1,M,Single,274.194428,21-12-2013,21-12-2015
106813,33,14,1,F,Single,353.8293525,20-12-2013,20-12-2015
192236,40,20,1,F,Single,398.2783895,19-12-2013,19-12-2015
119963,35,18,1,F,Married,293.7317934,18-12-2013,18-12-2015
132114,33,15,1,M,Single,522.6579568,17-12-2013,17-12-2015
107110,56,36,1,F,Married,603.7338515,16-12-2013,16-12-2015
106565,45,25,1,M,Married,317.9583714,15-12-2013,15-12-2015
149876,24,6,1,M,Married,690.1699369,14-12-2013,14-12-2015
142529,38,17,1,F,Married,332.8659118,13-12-2013,13-12-2015
144356,69,51,1,F,Single,83.64543896,12-12-2013,12-12-2015
105899,70,53,1,M,Single,426.6658746,11-12-2013,11-12-2015
149561,35,14,1,M,Married,587.7592971,10-12-2013,10-12-2015
135024,64,44,1,M,Single,126.9300629,09-12-2013,09-12-2015
145578,44,25,1,F,Married,281.8028525,08-12-2013,08-12-2015
106960,53,36,1,M,Married,241.126041,07-12-2013,07-12-2015
100568,67,48,1,M,Single,190.9903208,06-12-2013,06-12-2015
197807,58,38,1,F,Married,525.1432803,05-12-2013,05-12-2015
154972,43,25,1,M,Single,575.6892982,04-12-2013,04-12-2015
172927,33,16,1,F,Married,546.5523699,03-12-2013,03-12-2015
184311,66,49,1,F,Single,38.46999158,02-12-2013,02-12-2015
168301,61,42,1,M,Married,482.2699173,01-12-2013,01-12-2015
176463,69,51,1,F,Single,45.27574714,30-11-2013,30-11-2015
176637,22,4,1,M,Married,741.4046857,29-11-2013,29-11-2015
193617,62,42,1,M,Single,51.49368116,28-11-2013,28-11-2015
167665,61,41,1,F,Married,308.6526154,27-11-2013,27-11-2015
128924,20,2,1,F,Single,369.2310887,26-11-2013,26-11-2015
143406,30,11,1,M,Single,396.9147809,25-11-2013,25-11-2015
130372,57,37,1,F,Married,351.0954403,24-11-2013,24-11-2015
118439,69,52,1,F,Single,264.9025025,23-11-2013,23-11-2015
168087,17,0,1,M,Married,265.8563455,22-11-2013,22-11-2015
176995,53,36,1,M,Married,139.7488865,21-11-2013,21-11-2015
125583,25,6,1,M,Married,575.4669131,20-11-2013,20-11-2015
178921,28,10,1,F,Single,392.8457469,19-11-2013,19-11-2015
173549,35,18,1,M,Single,444.2241383,18-11-2013,18-11-2015
156187,17,0,1,F,Married,200.343212,17-11-2013,17-11-2015
149871,67,46,1,F,Single,658.0763977,16-11-2013,16-11-2015
110388,49,28,1,M,Married,334.9851495,15-11-2013,15-11-2015
189659,44,24,1,F,Married,556.3332589,14-11-2013,14-11-2015
154849,70,53,1,F,Single,158.83813,13-11-2013,13-11-2015
187153,39,19,1,F,Single,415.8200933,12-11-2013,12-11-2015
195569,40,19,1,F,Married,343.294489,11-11-2013,11-11-2015
183169,32,15,1,M,Single,372.9603759,10-11-2013,10-11-2015
177910,35,18,1,F,Single,404.5501101,09-11-2013,09-11-2015
144185,65,46,1,M,Married,295.5631484,08-11-2013,08-11-2015
145558,32,12,1,M,Married,209.2601387,07-11-2013,07-11-2015
135487,59,40,1,F,Married,310.9230046,06-11-2013,06-11-2015
188425,62,42,1,F,Married,39.59872587,05-11-2013,05-11-2015
116296,24,6,1,M,Married,633.9571627,04-11-2013,04-11-2015
151701,19,2,1,M,Married,524.4730901,03-11-2013,03-11-2015
108550,22,4,1,M,Married,442.9296618,02-11-2013,02-11-2015
108753,36,16,1,F,Married,145.6264409,01-11-2013,01-11-2015
110057,19,2,1,M,Married,230.1150988,31-10-2013,31-10-2015
179805,41,22,1,F,Single,430.5555209,30-10-2013,30-10-2015
170338,68,50,1,M,Married,326.1802691,29-10-2013,29-10-2015
143224,61,42,1,F,Married,236.7089588,28-10-2013,28-10-2015
185030,67,48,1,F,Married,381.9884749,27-10-2013,27-10-2015
114445,57,39,1,F,Single,795.1639064,26-10-2013,26-10-2015
112921,54,35,1,F,Single,434.5258236,25-10-2013,25-10-2015
125285,56,39,1,M,Married,437.3601045,24-10-2013,24-10-2015
129325,23,4,1,F,Single,421.2640345,23-10-2013,23-10-2015
135099,60,43,1,M,Married,63.83158513,22-10-2013,22-10-2015
162956,40,19,1,M,Single,291.3088903,21-10-2013,21-10-2015
152613,26,7,1,M,Single,409.4059691,20-10-2013,20-10-2015
161816,50,31,1,M,Married,358.0054248,19-10-2013,19-10-2015
149004,45,25,1,M,Married,356.5330417,18-10-2013,18-10-2015
127828,62,45,1,F,Married,167.5425068,17-10-2013,17-10-2015
100565,67,50,1,F,Married,249.1075462,16-10-2013,16-10-2015
183297,32,13,1,F,Single,373.6726323,15-10-2013,15-10-2015
186894,42,23,1,M,Single,193.9378831,14-10-2013,14-10-2015
198434,60,40,1,F,Married,327.9731107,13-10-2013,13-10-2015
178913,47,28,1,M,Single,481.06576,12-10-2013,12-10-2015
156248,21,4,1,M,Single,714.8738821,11-10-2013,11-10-2015
125801,45,26,1,M,Single,236.3433438,10-10-2013,10-10-2015
101188,19,2,1,F,Married,233.0418479,09-10-2013,09-10-2015
118927,56,39,1,M,Single,447.6154456,08-10-2013,08-10-2015
128215,66,49,1,F,Married,24.28756977,07-10-2013,07-10-2015
147543,50,33,1,M,Married,408.7089448,06-10-2013,06-10-2015
184217,62,43,1,M,Married,105.5850539,05-10-2013,05-10-2015
163390,62,42,1,F,Married,139.802146,04-10-2013,04-10-2015
195333,19,1,1,M,Single,1129.371234,03-10-2013,03-10-2015
163503,37,20,1,F,Married,173.5817214,02-10-2013,02-10-2015
135042,56,37,1,F,Single,207.8627204,01-10-2013,01-10-2015
141294,67,46,1,M,Married,106.2451549,30-09-2013,30-09-2015
114819,16,0,1,M,Single,433.080861,29-09-2013,29-09-2015
174479,69,48,1,F,Single,219.9773419,28-09-2013,28-09-2015
147750,64,46,1,F,Married,50.40620435,27-09-2013,27-09-2015
123355,20,2,1,F,Married,148.3836732,26-09-2013,26-09-2015
124560,18,0,1,M,Single,716.2810493,25-09-2013,25-09-2015
171030,65,44,1,F,Married,177.3780284,24-09-2013,24-09-2015
143194,24,5,1,M,Married,637.961713,23-09-2013,23-09-2015
160687,27,9,1,F,Married,281.9988866,22-09-2013,22-09-2015
126042,20,1,1,M,Single,644.5098594,21-09-2013,21-09-2015
180397,66,48,1,M,Married,143.4630701,20-09-2013,20-09-2015
179835,24,7,1,F,Married,428.8144302,19-09-2013,19-09-2015
130130,18,0,1,M,Married,216.6488257,18-09-2013,18-09-2015
160133,43,22,1,F,Married,313.0289438,17-09-2013,17-09-2015
143646,46,27,1,F,Single,373.2717697,16-09-2013,16-09-2015
158478,32,13,1,F,Single,675.9475429,15-09-2013,15-09-2015
170881,60,40,1,M,Single,375.2794805,14-09-2013,14-09-2015
163120,35,17,1,M,Married,457.1550705,13-09-2013,13-09-2015
166050,64,44,1,F,Single,115.134362,12-09-2013,12-09-2015
193193,49,31,1,M,Married,508.3393905,11-09-2013,11-09-2015
186952,23,4,1,M,Single,615.2990801,10-09-2013,10-09-2015
143527,35,14,1,F,Single,644.6010832,09-09-2013,09-09-2015
136129,22,3,1,F,Married,711.319749,08-09-2013,08-09-2015
146369,61,42,1,F,Married,31.96379288,07-09-2013,07-09-2015
109864,52,33,1,F,Single,391.2338229,06-09-2013,06-09-2015
100596,28,11,1,M,Married,538.4955542,05-09-2013,05-09-2015
175391,65,47,1,F,Single,122.3285063,04-09-2013,04-09-2015
161677,68,51,1,M,Single,46.76212563,03-09-2013,03-09-2015
115152,57,36,1,M,Single,521.1869239,02-09-2013,02-09-2015
116980,22,3,1,F,Married,379.979143,01-09-2013,01-09-2015
155148,33,13,1,M,Married,345.0914583,31-08-2013,31-08-2015
177493,62,41,1,F,Single,361.8315328,30-08-2013,30-08-2015
118695,20,2,1,F,Married,459.488058,29-08-2013,29-08-2015
154195,45,27,1,M,Married,620.4772924,28-08-2013,28-08-2015
146695,70,49,1,F,Single,364.8126232,27-08-2013,27-08-2015
150643,17,0,1,M,Single,908.9218149,26-08-2013,26-08-2015
176831,56,35,1,M,Single,174.2884032,25-08-2013,25-08-2015
151357,46,25,1,F,Married,306.682273,24-08-2013,24-08-2015
189122,63,43,1,F,Single,422.9930733,23-08-2013,23-08-2015
108588,16,0,1,F,Single,590.7871142,22-08-2013,22-08-2015
170491,22,4,1,F,Married,105.2078607,21-08-2013,21-08-2015
117811,36,19,1,M,Married,244.1962448,20-08-2013,20-08-2015
110745,33,12,1,F,Married,305.6462484,19-08-2013,19-08-2015
134296,38,17,1,F,Single,800.5456109,18-08-2013,18-08-2015
126164,17,0,1,F,Married,283.9100974,17-08-2013,17-08-2015
140934,27,7,1,F,Single,367.1256363,16-08-2013,16-08-2015
107011,36,16,2,M,Married,369.7343028,15-08-2013,15-08-2015
184960,25,8,2,M,Single,845.9031137,14-08-2013,14-08-2015
153192,17,0,2,F,Single,259.7446292,13-08-2013,13-08-2015
197254,61,41,2,F,Single,559.3882097,12-08-2013,12-08-2015
101790,22,3,2,F,Married,362.2390293,11-08-2013,11-08-2015
176854,67,48,2,F,Single,245.5495025,10-08-2013,10-08-2015
124684,55,38,2,M,Single,274.3548628,09-08-2013,09-08-2015
125738,64,47,2,M,Married,155.1176981,08-08-2013,08-08-2015
192290,25,8,2,M,Single,505.2605779,07-08-2013,07-08-2015
141619,58,41,2,F,Single,591.3276195,06-08-2013,06-08-2015
127894,58,40,2,M,Married,357.4228043,05-08-2013,05-08-2015
138348,67,47,2,F,Single,16.47542036,04-08-2013,04-08-2015
173790,31,11,2,F,Married,612.0679151,03-08-2013,03-08-2015
114423,29,12,2,F,Married,306.3115973,02-08-2013,02-08-2015
189584,20,2,2,M,Single,619.4805931,01-08-2013,01-08-2015
150233,61,43,2,F,Married,38.61900356,31-07-2013,31-07-2015
133237,30,10,2,F,Married,328.0235113,30-07-2013,30-07-2015
153885,33,13,2,F,Single,407.0085068,29-07-2013,29-07-2015
169504,20,1,2,F,Single,872.0054822,28-07-2013,28-07-2015
